cpf|nome|endereco|dia|mes|ano|telefone|cidade
86868686700|Chico Santos|Rua Joao Santos|26|02|1954|72454675678|Rio de Janeiro
60834907909|Chico Elgam|Avenida Sete|14|01|1980|22454675678|Recife
79774534875|Jose Azevedo|Av. Campina Grande|05|08|1954|55454675678|Porto Alegre
29595395757|Luis Rossi|Avenida Numero Dois|24|05|1948|71454675678|Manaus
00385702205|Nair Jaca|Avenida Sete|10|02|1954|22454675678|Campinas
78077811817|Jose Aragao|R. Onze Mil|26|12|1983|11454675678|Florianopolis
33570091619|Luis Del Nero|A. Da Cidade|11|09|1976|21454675678|Londrina
32429611538|Jose Azevedo|Rua Recife|23|06|1988|73454675678|Porto Alegre
51767717563|Ana Souza|Avenida das Torres|10|07|1983|86454675678|Campinas
94847576567|Ana Aragao|Rua Tres|01|12|1956|21454675678|Recife
86868686700|Tiana Rossi|Avenida das Torres|24|07|1980|13454675678|Cuiaba
94847576567|Gustavo Inacio|Av. Movimentada|01|03|1948|21454675678|Teresina
94847576567|Luis Aragao|Rua Carlos Silva|10|04|1948|55454675678|Porto Alegre
69039837830|Maria Avelar|Rua Sem Carros|24|01|1948|72454675678|Cuiaba
49106967841|Nair Gomes|Rua Recife|24|11|1976|71454675678|Curitiba
05965970617|Maria Rossi|R. Onze Mil|26|11|1956|21454675678|Cuiaba
50306367149|Tiana Elgam|Av. Movimentada|24|05|1998|85454675678|Cuiaba
74162479500|Franco Santos|Av. Campina Grande|11|02|1948|15454675678|Florianopolis
86868686700|Jose Hilder|Rua Sem Carros|23|09|1988|23454675678|Londrina
86868768768|Luis Aragao|Rua Numero Um|10|01|1988|55454675678|Sao Paulo
83751993894|Nair Aragao|Rua Joao Santos|10|04|1983|73454675678|Rio de Janeiro
41259463370|Ana Souza|R. Onze Mil|11|04|1956|11454675678|Sao Luis
03490041704|Franco Inacio|Rua Joao Santos|05|11|1956|21454675678|Curitiba
15164497891|Nair Aragao|Avenida Numero Dois|24|08|1956|13454675678|Campinas
18064225574|Bastos Zani|Av. Campina Grande|14|10|1983|71454675678|Manaus
77788888887|Franco Frade|Rua Carlos Silva|19|11|1980|86454675678|Londrina
86868768768|Maria Jaca|Rua Carlos Silva|01|11|1976|65454675678|Aracaju
89615460311|Bastos Gomes|Av. Campina Grande|10|05|1956|21454675678|Teresina
12753843317|Tiana Rossi|Avenida Sete|05|07|1998|15454675678|Aracaju
94225653595|Luis Silva|Avenida Sete|19|06|1954|23454675678|Cuiaba
18549646741|Luis Azevedo|Rua Carlos Silva|07|08|1976|73454675678|Manaus
44009877600|Chico Santos|Avenida Numero Dois|10|11|1956|13454675678|Rio de Janeiro
86868768768|Franco Zani|R. Onze Mil|07|06|1956|72454675678|Campinas
99914683401|Zenaide Elgam|R. Onze Mil|18|01|1998|72454675678|Teresina
63532844974|Zenaide Santos|Rua Joao Santos|14|09|1988|71454675678|Manaus
46072797148|Paulo Jaca|Rua Sem Carros|19|09|1980|55454675678|Teresina
61270211382|Luis Rossi|Rua Joao Santos|09|11|1998|13454675678|Sao Luis
77788888887|Nair Del Nero|Avenida Sete|18|06|1983|22454675678|Rio de Janeiro
77788888887|Franco Inacio|Avenida Sete|11|12|1980|22454675678|Cuiaba
94847576567|Tiana Azevedo|Av. Campina Grande|10|10|1976|23454675678|Recife
78760680733|Bastos Gomes|R. Onze Mil|09|01|1988|13454675678|Campinas
90055518524|Luis Aragao|Avenida Sete|18|09|1988|85454675678|Porto Alegre
69296079675|Nair Hilder|Rua Carlos Silva|10|04|1970|23454675678|Aracaju
86868768768|Jose Jaca|Avenida Sete|26|07|1988|86454675678|Sao Luis
64312510598|Franco Inacio|Rua Numero Um|24|12|1956|23454675678|Londrina
86868686700|Zenaide Jaca|Avenida Numero Dois|19|08|1956|21454675678|Manaus
18667860590|Ana Silva|Rua Recife|14|09|1948|55454675678|Porto Alegre
96352301509|Gustavo Del Nero|A. Da Cidade|18|01|1970|23454675678|Manaus
53166744991|Chico Rossi|Rua Recife|17|05|1998|73454675678|Porto Alegre
75098628091|Paulo Jaca|Rua Sem Carros|14|10|1948|72454675678|Aracaju
35354661307|Franco Gomes|A. Da Cidade|11|09|1948|11454675678|Teresina
82458977103|Zenaide Frade|R. Numero Vinte|10|02|1998|23454675678|Sao Paulo
49966045309|Luis Silva|A. Da Cidade|14|12|1976|22454675678|Aracaju
62779594179|Ana Souza|Rua Tres|14|08|1970|15454675678|Manaus
41037210069|Maria Rossi|Avenida das Torres|11|06|1948|67454675678|Aracaju
52383306002|Ana Gomes|A. Da Cidade|18|10|1956|13454675678|Teresina
25961676463|Nair Hilder|Av. Campina Grande|10|08|1980|23454675678|Recife
86868768768|Maria Azevedo|Avenida Numero Dois|24|05|1980|85454675678|Sao Paulo
43838432126|Bastos Del Nero|R. Numero Vinte|10|07|1998|21454675678|Sao Paulo
86868768768|Gustavo Gomes|R. Numero Vinte|22|10|1976|67454675678|Manaus
74026286126|Jose Del Nero|A. Da Cidade|17|06|1988|73454675678|Rio de Janeiro
63545454647|Paulo Avelar|R. Onze Mil|05|04|1956|11454675678|Teresina
71541461681|Gustavo Inacio|Rua Carlos Silva|18|10|1970|22454675678|Recife
11449979688|Tiana Azevedo|Avenida Sete|26|03|1954|11454675678|Manaus
43275258397|Ana Jaca|Rua Tres|10|09|1976|22454675678|Teresina
77841108559|Jose Elgam|R. Numero Vinte|07|11|1983|73454675678|Rio de Janeiro
63545454647|Paulo Silva|Rua Joao Santos|26|02|1956|11454675678|Sao Luis
86868768768|Franco Azevedo|R. Onze Mil|18|10|1983|65454675678|Florianopolis
23504104988|Zenaide Zani|Av. Movimentada|19|01|1983|55454675678|Aracaju
35863581050|Nair Aragao|Rua Sem Carros|10|08|1980|13454675678|Florianopolis
21822646472|Paulo Jaca|Rua Tres|01|06|1998|72454675678|Teresina
38504067769|Bastos Gomes|Av. Campina Grande|10|04|1988|86454675678|Sao Paulo
77788888887|Gustavo Hilder|Rua Tres|07|10|1970|73454675678|Teresina
11260523292|Gustavo Aragao|Avenida Numero Dois|23|10|1956|65454675678|Recife
86868686700|Paulo Souza|Av. Campina Grande|14|02|1954|86454675678|Recife
94552222562|Ana Azevedo|Avenida Sete|22|09|1976|13454675678|Sao Luis
43010635524|Bastos Gomes|Rua Recife|18|05|1954|23454675678|Sao Paulo
60254127312|Bastos Santos|Rua Numero Um|10|08|1983|55454675678|Curitiba
83954956098|Jose Aragao|Rua Recife|23|08|1956|11454675678|Porto Alegre
91824358636|Paulo Souza|Rua Numero Um|01|10|1970|65454675678|Manaus
96247425619|Chico Aragao|Rua Carlos Silva|23|12|1956|15454675678|Cuiaba
12116498732|Gustavo Jaca|Rua Recife|05|05|1998|22454675678|Sao Paulo
86868686700|Zenaide Elgam|Rua Carlos Silva|09|05|1983|13454675678|Teresina
13087060658|Jose Jaca|A. Da Cidade|09|01|1976|13454675678|Curitiba
42206151561|Chico Souza|Av. Movimentada|05|12|1988|72454675678|Rio de Janeiro
66149441423|Luis Azevedo|Avenida Numero Dois|22|05|1998|73454675678|Teresina
93271061130|Chico Hilder|Av. Movimentada|18|11|1988|71454675678|Aracaju
25421203581|Luis Zani|Avenida Numero Dois|17|07|1970|71454675678|Aracaju
64585907254|Nair Inacio|Av. Campina Grande|10|05|1954|85454675678|Campinas
77788888887|Luis Azevedo|Avenida Numero Dois|22|02|1976|55454675678|Curitiba
97963183008|Gustavo Avelar|R. Onze Mil|11|03|1983|72454675678|Recife
66870256357|Nair Gomes|Avenida Sete|17|12|1954|72454675678|Aracaju
22156759189|Bastos Rossi|Avenida Numero Dois|11|08|1970|13454675678|Londrina
70296317144|Paulo Jaca|Rua Joao Santos|26|01|1948|73454675678|Aracaju
05215075700|Gustavo Zani|Av. Campina Grande|26|07|1956|21454675678|Porto Alegre
88728694805|Bastos Elgam|Avenida Numero Dois|01|05|1980|22454675678|Aracaju
34299257545|Franco Inacio|Rua Tres|26|03|1970|73454675678|Londrina
00653897197|Jose Aragao|Av. Campina Grande|17|07|1983|73454675678|Teresina
56195417629|Maria Azevedo|Av. Campina Grande|07|05|1970|22454675678|Florianopolis
70120745402|Paulo Hilder|R. Numero Vinte|26|08|1976|21454675678|Cuiaba
77788888887|Tiana Rossi|Avenida Sete|14|11|1976|86454675678|Porto Alegre
11991526504|Jose Zani|Av. Campina Grande|17|06|1954|85454675678|Aracaju
20498778207|Bastos Hilder|Rua Tres|18|10|1976|71454675678|Curitiba
80156318156|Bastos Zani|Rua Sem Carros|22|06|1970|67454675678|Aracaju
73085558284|Luis Jaca|Avenida Numero Dois|23|01|1998|86454675678|Campinas
63545454647|Nair Souza|Avenida Sete|10|09|1998|15454675678|Londrina
90565857118|Nair Jaca|Av. Movimentada|09|01|1948|13454675678|Florianopolis
49817041190|Gustavo Hilder|Rua Sem Carros|11|11|1970|85454675678|Cuiaba
